nlp,sql_label,query_type,results,llm_result,query_same,result_same
Compare V Kohli vs RG Sharma,"SELECT batsman AS player, COUNT(*) AS innings, SUM(batsman_runs) AS total_runs, SUM(CASE WHEN batsman_runs=4 THEN 1 END) AS fours, SUM(CASE WHEN batsman_runs=6 THEN 1 END) AS sixes, COUNT(ball) AS balls_faced FROM deliveries WHERE batsman IN ('V Kohli','RG Sharma') GROUP BY batsman;",predefined,"(('RG Sharma', 3274, Decimal('4207'), Decimal('354'), Decimal('173'), 3274), ('V Kohli', 3494, Decimal('4423'), Decimal('384'), Decimal('160'), 3494))","Final Answer:
   player  innings  total_runs  fours  sixes  balls_faced  strike_rate      
RG Sharma     3274      4207.0  354.0  173.0         3274       128.50      
  V Kohli     3494      4423.0  384.0  160.0         3494       126.59 ",,1
Compare MS Dhoni vs S Dhawan,"SELECT batsman AS player, COUNT(*) AS innings, SUM(batsman_runs) AS total_runs, SUM(CASE WHEN batsman_runs=4 THEN 1 END) AS fours, SUM(CASE WHEN batsman_runs=6 THEN 1 END) AS sixes, COUNT(ball) AS balls_faced FROM deliveries WHERE batsman IN ('MS Dhoni','S Dhawan') GROUP BY batsman;",predefined,"(('S Dhawan', 3005, Decimal('3561'), Decimal('401'), Decimal('71'), 3005), ('MS Dhoni', 2680, Decimal('3560'), Decimal('251'), Decimal('156'), 2680))","Final Answer:
  player  innings  total_runs  fours  sixes  balls_faced  strike_rate       
S Dhawan     3005      3561.0  401.0   71.0         3005       118.50       
MS Dhoni     2680      3560.0  251.0  156.0         2680       132.84   ",,1
Compare AB de Villiers vs CH Gayle,"SELECT batsman AS player, COUNT(*) AS innings, SUM(batsman_runs) AS total_runs, SUM(CASE WHEN batsman_runs=4 THEN 1 END) AS fours, SUM(CASE WHEN batsman_runs=6 THEN 1 END) AS sixes, COUNT(ball) AS balls_faced FROM deliveries WHERE batsman IN ('AB de Villiers','CH Gayle') GROUP BY batsman;",predefined,"(('CH Gayle', 2532, Decimal('3651'), Decimal('297'), Decimal('266'), 2532), ('AB de Villiers', 2402, Decimal('3486'), Decimal('287'), Decimal('158'), 2402))","Final Answer:
        player  innings  total_runs  fours  sixes  balls_faced  strike_rate 
      CH Gayle     2532      3651.0  297.0  266.0         2532       144.19 
AB de Villiers     2402      3486.0  287.0  158.0         2402       145.13 ",,
List top 5 run scorers of 2016,"SELECT d.batsman, SUM(d.batsman_runs) AS total_runs FROM deliveries d JOIN matches m ON d.match_id=m.id WHERE m.season=2016 GROUP BY d.batsman ORDER BY total_runs DESC LIMIT 5;",predefined,"(('V Kohli', Decimal('973')), ('DA Warner', Decimal('848')), ('AB de Villiers', Decimal('687')), ('S Dhawan', Decimal('501')), ('G Gambhir', Decimal('501')))","Final Answer:
       batsman  total_runs
       V Kohli       973.0
     DA Warner       848.0
AB de Villiers       687.0
      S Dhawan       501.0
     G Gambhir       501.0",,
Top 3 run scorers in 2015,"SELECT d.batsman, SUM(d.batsman_runs) AS total_runs FROM deliveries d JOIN matches m ON d.match_id=m.id WHERE m.season=2015 GROUP BY d.batsman ORDER BY total_runs DESC LIMIT 3;",predefined,"(('DA Warner', Decimal('562')), ('LMP Simmons', Decimal('540')), ('AM Rahane', Decimal('540')))","Final Answer:
    batsman  total_runs
  DA Warner       562.0
LMP Simmons       540.0
  AM Rahane       540.0",,
Show top 10 scorers from 2017 season,"SELECT d.batsman, SUM(d.batsman_runs) AS total_runs FROM deliveries d JOIN matches m ON d.match_id=m.id WHERE m.season=2017 GROUP BY d.batsman ORDER BY total_runs DESC LIMIT 10;",predefined,"(('DA Warner', Decimal('641')), ('G Gambhir', Decimal('498')), ('S Dhawan', Decimal('479')), ('SPD Smith', Decimal('472')), ('SK Raina', Decimal('442')), ('HM Amla', Decimal('420')), ('MK Pandey', Decimal('396')), ('KA Pollard', Decimal('395')), ('PA Patel', Decimal('395')), ('RA Tripathi', Decimal('391')))","Final Answer:
    batsman  total_runs
  DA Warner       641.0
  G Gambhir       498.0
   S Dhawan       479.0
  SPD Smith       472.0
   SK Raina       442.0
    HM Amla       420.0
  MK Pandey       396.0
 KA Pollard       395.0
   PA Patel       395.0
RA Tripathi       391.0",,
Top 5 wicket takers of 2014,"SELECT d.bowler, COUNT(*) AS wickets FROM deliveries d JOIN matches m ON d.match_id=m.id WHERE m.season=2014 AND d.player_dismissed IS NOT NULL AND d.dismissal_kind NOT IN ('run out','retired hurt','obstructing the field') GROUP BY d.bowler ORDER BY wickets DESC LIMIT 5;",predefined,"(('MM Sharma', 23), ('SP Narine', 21), ('B Kumar', 20), ('RA Jadeja', 19), ('Sandeep Sharma', 18))","Final Answer:
   bowler  wickets
MM Sharma       26
SP Narine       22
  B Kumar       21
RA Jadeja       20
 AR Patel       19",,
Top 5 wicket takers of 2011,"SELECT d.bowler, COUNT(*) AS wickets FROM deliveries d JOIN matches m ON d.match_id=m.id WHERE m.season=2011 AND d.player_dismissed IS NOT NULL AND d.dismissal_kind NOT IN ('run out','retired hurt','obstructing the field') GROUP BY d.bowler ORDER BY wickets DESC LIMIT 5;",predefined,"(('SL Malinga', 28), ('MM Patel', 22), ('S Aravind', 21), ('R Ashwin', 20), ('A Mishra', 19))","Final Answer:
      bowler  wickets
  SL Malinga       30
   S Aravind       22
    MM Patel       22
    R Ashwin       21
DE Bollinger       20",,
Leading wicket taker in 2013,"SELECT d.bowler, COUNT(*) AS wickets FROM deliveries d JOIN matches m ON d.match_id=m.id WHERE m.season=2013 AND d.player_dismissed IS NOT NULL AND d.dismissal_kind NOT IN ('run out','retired hurt','obstructing the field') GROUP BY d.bowler ORDER BY wickets DESC LIMIT 1;",predefined,"(('DJ Bravo', 32),)","Final Answer:
         bowler  wickets
       DJ Bravo       34
    JP Faulkner       33
  R Vinay Kumar       27
      SP Narine       26
Harbhajan Singh       25",,
Average score at Wankhede Stadium,"SELECT ROUND(AVG(runs_per_match),2) AS avg_score FROM (SELECT match_id,SUM(total_runs) AS runs_per_match FROM deliveries JOIN matches ON deliveries.match_id=matches.id WHERE venue='Wankhede Stadium' GROUP BY match_id) t;",predefined,"((Decimal('315.63'),),)", Average score at Wankhede Stadium is 315.63 runs,,
